[Shared Parameters]

Parameter Name,Olin Basic [022119.174312792], 
Saved by,Matt, 
Laboratory,Mat Sci, 
Customer,CEAST Lab, 
Comment,, 
Date,2/21/2019 5:43:12 PM, 
Test Type,Puncture, 
Standard,CUSTOMIZED STANDARD, 
No.Specimen,8, 
Clamped,no, 
Support Diameter,80.000,mm
Applied weight,0.000,kg
Impact Energy,30.611,J
Impact Velocity,4.429,m/s
Impact Height,1000.000,mm
Sampling Freq.,1000.000,kHz
Points No.,5000, 
Trigger Level,10.0,%
Trigger Type,Internal (digital), 
PreTrigger Points,100, 
Total Point,5, 
Working Range,45000000.000,%
Carriage Mass,2.500,kg
Data Type,Instrumented, 
Clamping Use,no, 
Striker Range,45000.000,N
Clamping Force,?, 
Standard,CUSTOMIZED STANDARD, 
Support Type,Clamp, 
Ring diameter,0.000,mm
Use conditioning restart,no, 
Use specimen temperature wait,no, 
Use temperature maintenance after test,no, 

[Shared Data]

Test Name,White 6x8 A 1m 2nd,
Instrument,Data Screen,
Instrument Type,<INST_DT40>,
Data Type,Instrumented,
No.Specs.,3,
Date,2/21/2019 5:42:15 PM,
Date Last Mod.,2/21/2019 5:47:31 PM,
Operator,Flynn,
Comment,,
Clamping Force,,

[Step [1] Data]

Discard, ,
Manual, ,
N. Step data,1,
Thickness,25.000,mm
Percentage Energy,3.66,%
Slow Down,20.07,%
Velocity Variation,0.885,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,,
Peak Force,2631.917,N
Peak Energy,11.718,J
Total Energy,12.164,J
Peak Displacement,39.041,mm
Total Displacement,39.391,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.442,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Step [2] Data]

Discard, ,
Manual, ,
N. Step data,2,
Thickness,25.000,mm
Percentage Energy,11.32,%
Slow Down,26.55,%
Velocity Variation,1.171,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,,
Peak Force,2811.234,N
Peak Energy,13.471,J
Total Energy,15.190,J
Peak Displacement,38.372,mm
Total Displacement,39.657,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.442,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Step [3] Data]

Discard, ,
Manual, ,
N. Step data,3,
Thickness,25.000,mm
Percentage Energy,12.17,%
Slow Down,24.65,%
Velocity Variation,1.087,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,,
Peak Force,2961.629,N
Peak Energy,12.642,J
Total Energy,14.393,J
Peak Displacement,40.252,mm
Total Displacement,41.623,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.319,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Minimum]

Discard,Min,
Manual,---,
N. Step data,---,
Thickness,25.000,mm
Percentage Energy,3.66,%
Slow Down,20.07,%
Velocity Variation,0.885,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,---,
Peak Force,2631.917,N
Peak Energy,11.718,J
Total Energy,12.164,J
Peak Displacement,38.372,mm
Total Displacement,39.391,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.442,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Maximum]

Discard,Max,
Manual,---,
N. Step data,---,
Thickness,25.000,mm
Percentage Energy,12.17,%
Slow Down,26.55,%
Velocity Variation,1.171,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,---,
Peak Force,2961.629,N
Peak Energy,13.471,J
Total Energy,15.190,J
Peak Displacement,40.252,mm
Total Displacement,41.623,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.319,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Average]

Discard,Avg,
Manual,---,
N. Step data,---,
Thickness,25.000,mm
Percentage Energy,9.05,%
Slow Down,23.76,%
Velocity Variation,1.048,m/s
Total Mass,3.121,kg
Impact Height (Nominal),1000.000,mm
Impact Velocity (Nominal),4.429,m/s
Impact Energy (Nominal),30.611,J
Specimen ID,---,
Peak Force,2801.593,N
Peak Energy,12.610,J
Total Energy,13.916,J
Peak Displacement,39.222,mm
Total Displacement,40.224,mm
Start Velocity,4.410,m/s
Yield Energy,0.000,J
Yield Force,-0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,-1.401,mV
Yield Velocity,4.410,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Standard Deviation]

Discard,StdDev,
Manual,---,
N. Step data,---,
Thickness,0.000,mm
Percentage Energy,4.68,%
Slow Down,3.33,%
Velocity Variation,0.147,m/s
Total Mass,0.000,kg
Impact Height (Nominal),0.000,mm
Impact Velocity (Nominal),0.000,m/s
Impact Energy (Nominal),0.000,J
Specimen ID,---,
Peak Force,165.068,N
Peak Energy,0.877,J
Total Energy,1.569,J
Peak Displacement,0.953,mm
Total Displacement,1.219,mm
Start Velocity,0.000,m/s
Yield Energy,0.000,J
Yield Force,0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,0.071,mV
Yield Velocity,0.000,m/s
Yield Time,0.000,ms
Yield Percent,---,%

[Statistical Data - Variance]

Discard,Var,
Manual,---,
N. Step data,---,
Thickness,0.000,mm
Percentage Energy,21.94,%
Slow Down,11.11,%
Velocity Variation,0.022,m/s
Total Mass,0.000,kg
Impact Height (Nominal),0.000,mm
Impact Velocity (Nominal),0.000,m/s
Impact Energy (Nominal),0.000,J
Specimen ID,---,
Peak Force,27247.314,N
Peak Energy,0.769,J
Total Energy,2.461,J
Peak Displacement,0.909,mm
Total Displacement,1.486,mm
Start Velocity,0.000,m/s
Yield Energy,0.000,J
Yield Force,0.000,N
Yield Displacement,0.000,mm
Yield Raw Data,0.005,mV
Yield Velocity,0.000,m/s
Yield Time,0.000,ms
Yield Percent,---,%

